;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-4.5 86.68499999999995 -1.5707963267948966,253.335 4.5 3.141592653589793,299.0 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-4.5 75.57499999999993 -1.5707963267948966,242.225 4.5 3.141592653589793,296.0 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-4.5 64.46499999999992 -1.5707963267948966,231.115 4.5 3.141592653589793,291.0 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-4.5 53.354999999999908 -1.5707963267948966,220.005 4.5 3.141592653589793,284.0 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-4.5 42.24499999999989 -1.5707963267948966,208.89499999999999 4.5 3.141592653589793,275.0 4.5 3.141592653589793,299.0 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-299.0 -4.5 0.0,-4.5 31.134999999999878 -1.5707963267948966,197.78500000000003 4.5 3.141592653589793,264.445 4.5 3.141592653589793,296.0 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-296.0 -4.5 0.0,-4.5 21.87666666666655 -1.5707963267948966,186.675 4.5 3.141592653589793,253.335 4.5 3.141592653589793,291.0 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-291.0 -4.5 0.0,-4.5 15.704444444444335 -1.5707963267948966,175.565 4.5 3.141592653589793,242.225 4.5 3.141592653589793,284.0 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-284.0 -4.5 0.0,-4.5 12.001111111111016 -1.5707963267948966,164.455 4.5 3.141592653589793,231.115 4.5 3.141592653589793,275.0 4.5 3.141592653589793,299.0 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-275.0 -4.5 0.0,-299.0 -4.5 0.0,-4.5 10.766666666666595 -1.5707963267948966,153.34500000000004 4.5 3.141592653589793,220.005 4.5 3.141592653589793,264.445 4.5 3.141592653589793,296.0 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-264.445 -4.5 0.0,-296.0 -4.5 0.0,142.235 4.5 3.141592653589793,208.89499999999999 4.5 3.141592653589793,253.335 4.5 3.141592653589793,291.0 4.5 3.141592653589793,-4.5 9.766666666666595 -1.5707963267948966,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
-253.335 -4.5 0.0,-291.0 -4.5 0.0,131.125 4.5 3.141592653589793,197.78500000000003 4.5 3.141592653589793,242.225 4.5 3.141592653589793,284.0 4.5 3.141592653589793,-4.5 6.766666666666595 -1.5707963267948966,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-242.225 -4.5 0.0,-284.0 -4.5 0.0,4.5 -299.0 1.5707963267948966,120.01499999999999 4.5 3.141592653589793,186.675 4.5 3.141592653589793,231.115 4.5 3.141592653589793,275.0 4.5 3.141592653589793,299.0 4.5 3.141592653589793,-4.5 1.7666666666665947 -1.5707963267948966,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-231.115 -4.5 0.0,-275.0 -4.5 0.0,-299.0 -4.5 0.0,4.5 -296.0 1.5707963267948966,108.90499999999997 4.5 3.141592653589793,175.565 4.5 3.141592653589793,220.005 4.5 3.141592653589793,264.445 4.5 3.141592653589793,296.0 4.5 3.141592653589793,-4.5 -5.233333333333405 -1.5707963267948962,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-220.005 -4.5 0.0,-264.445 -4.5 0.0,-296.0 -4.5 0.0,4.5 -291.0 1.5707963267948966,-4.5 -14.233333333333406 -1.5707963267948966,97.79499999999996 4.5 3.141592653589793,164.455 4.5 3.141592653589793,208.89499999999999 4.5 3.141592653589793,253.335 4.5 3.141592653589793,291.0 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-208.89499999999999 -4.5 0.0,-253.335 -4.5 0.0,-291.0 -4.5 0.0,4.5 -284.0 1.5707963267948966,-4.5 -24.788333333333406 -1.5707963267948966,86.68499999999995 4.5 3.141592653589793,153.34500000000004 4.5 3.141592653589793,197.78500000000003 4.5 3.141592653589793,242.225 4.5 3.141592653589793,284.0 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-197.78500000000003 -4.5 0.0,-242.225 -4.5 0.0,-284.0 -4.5 0.0,4.5 -275.0 1.5707963267948966,4.5 -299.0 1.5707963267948966,-4.5 -35.898333333333408 -1.5707963267948966,75.57499999999993 4.5 3.141592653589793,142.235 4.5 3.141592653589793,186.675 4.5 3.141592653589793,231.115 4.5 3.141592653589793,275.0 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-186.675 -4.5 0.0,-231.115 -4.5 0.0,-275.0 -4.5 0.0,4.5 -264.445 1.5707963267948966,4.5 -296.0 1.5707963267948966,-4.5 -47.008333333333407 -1.5707963267948966,64.46499999999992 4.5 3.141592653589793,131.125 4.5 3.141592653589793,175.565 4.5 3.141592653589793,220.005 4.5 3.141592653589793,264.445 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-175.565 -4.5 0.0,-220.005 -4.5 0.0,-264.445 -4.5 0.0,4.5 -253.335 1.5707963267948966,4.5 -291.0 1.5707963267948966,-4.5 -58.1183333333334 -1.5707963267948966,53.354999999999908 4.5 3.141592653589793,120.01499999999999 4.5 3.141592653589793,164.455 4.5 3.141592653589793,208.89499999999999 4.5 3.141592653589793,253.335 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-164.455 -4.5 0.0,-208.89499999999999 -4.5 0.0,-253.335 -4.5 0.0,4.5 -242.225 1.5707963267948966,4.5 -284.0 1.5707963267948966,-4.5 -69.22833333333341 -1.5707963267948966,42.24499999999989 4.5 3.141592653589793,108.90499999999997 4.5 3.141592653589793,153.34500000000004 4.5 3.141592653589793,197.78500000000003 4.5 3.141592653589793,242.225 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-299.0 -1.5 0.0,-153.34500000000004 -4.5 0.0,-197.78500000000003 -4.5 0.0,-242.225 -4.5 0.0,-299.0 -4.5 0.0,4.5 -231.115 1.5707963267948966,4.5 -275.0 1.5707963267948966,-4.5 -80.3383333333334 -1.5707963267948966,31.134999999999878 4.5 3.141592653589793,97.79499999999996 4.5 3.141592653589793,142.235 4.5 3.141592653589793,186.675 4.5 3.141592653589793,231.115 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-296.0 -1.5 0.0,-142.235 -4.5 0.0,-186.675 -4.5 0.0,-231.115 -4.5 0.0,-296.0 -4.5 0.0,4.5 -220.005 1.5707963267948966,4.5 -264.445 1.5707963267948966,4.5 -299.0 1.5707963267948966,-4.5 -91.4483333333334 -1.5707963267948966,20.024999999999865 4.5 3.141592653589793,86.68499999999995 4.5 3.141592653589793,131.125 4.5 3.141592653589793,175.565 4.5 3.141592653589793,220.005 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-291.0 -1.5 0.0,-131.125 -4.5 0.0,-175.565 -4.5 0.0,-220.005 -4.5 0.0,-291.0 -4.5 0.0,4.5 -208.89499999999999 1.5707963267948966,4.5 -253.335 1.5707963267948966,4.5 -296.0 1.5707963267948966,-4.5 -102.5583333333334 -1.5707963267948966,75.57499999999993 4.5 3.141592653589793,120.01499999999999 4.5 3.141592653589793,164.455 4.5 3.141592653589793,208.89499999999999 4.5 3.141592653589793,8.91499999999985 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-284.0 -1.5 0.0,-120.01499999999999 -4.5 0.0,-164.455 -4.5 0.0,-208.89499999999999 -4.5 0.0,-284.0 -4.5 0.0,4.5 -197.78500000000003 1.5707963267948966,4.5 -242.225 1.5707963267948966,4.5 -291.0 1.5707963267948966,-4.5 -113.6683333333334 -1.5707963267948966,64.46499999999992 4.5 3.141592653589793,108.90499999999997 4.5 3.141592653589793,153.34500000000004 4.5 3.141592653589793,197.78500000000003 4.5 3.141592653589793,-2.19500000000015 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-275.0 -1.5 0.0,-108.90499999999997 -4.5 0.0,-153.34500000000004 -4.5 0.0,-197.78500000000003 -4.5 0.0,-275.0 -4.5 0.0,-299.0 -4.5 0.0,4.5 -186.675 1.5707963267948966,4.5 -231.115 1.5707963267948966,4.5 -284.0 1.5707963267948966,-13.305000000000149 4.5 3.141592653589793,-4.5 -124.7783333333334 -1.5707963267948966,53.354999999999908 4.5 3.141592653589793,97.79499999999996 4.5 3.141592653589793,142.235 4.5 3.141592653589793,186.675 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-264.445 -1.5 0.0,-97.79499999999996 -4.5 0.0,-142.235 -4.5 0.0,-186.675 -4.5 0.0,-264.445 -4.5 0.0,-296.0 -4.5 0.0,4.5 -175.565 1.5707963267948966,4.5 -220.005 1.5707963267948966,4.5 -275.0 1.5707963267948966,-24.41500000000015 4.5 3.141592653589793,-4.5 -135.88833333333339 -1.5707963267948966,42.24499999999989 4.5 3.141592653589793,86.68499999999995 4.5 3.141592653589793,131.125 4.5 3.141592653589793,175.565 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-253.335 -1.5 0.0,-86.68499999999995 -4.5 0.0,-131.125 -4.5 0.0,-175.565 -4.5 0.0,-253.335 -4.5 0.0,-291.0 -4.5 0.0,4.5 -164.455 1.5707963267948966,4.5 -208.89499999999999 1.5707963267948966,4.5 -264.445 1.5707963267948966,4.5 -299.0 1.5707963267948966,-35.52500000000015 4.5 3.141592653589793,-4.5 -146.9983333333334 -1.5707963267948966,31.134999999999878 4.5 3.141592653589793,75.57499999999993 4.5 3.141592653589793,120.01499999999999 4.5 3.141592653589793,164.455 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-242.225 -1.5 0.0,-75.57499999999993 -4.5 0.0,-120.01499999999999 -4.5 0.0,-164.455 -4.5 0.0,-242.225 -4.5 0.0,-284.0 -4.5 0.0,4.5 -153.34500000000004 1.5707963267948966,4.5 -197.78500000000003 1.5707963267948966,4.5 -253.335 1.5707963267948966,4.5 -296.0 1.5707963267948966,-46.63500000000014 4.5 3.141592653589793,-4.5 -158.1083333333334 -1.5707963267948966,20.024999999999865 4.5 3.141592653589793,64.46499999999992 4.5 3.141592653589793,108.90499999999997 4.5 3.141592653589793,153.34500000000004 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-231.115 -1.5 0.0,-64.46499999999992 -4.5 0.0,-108.90499999999997 -4.5 0.0,-153.34500000000004 -4.5 0.0,-231.115 -4.5 0.0,-275.0 -4.5 0.0,4.5 -142.235 1.5707963267948966,4.5 -186.675 1.5707963267948966,4.5 -242.225 1.5707963267948966,4.5 -291.0 1.5707963267948966,-57.74500000000015 4.5 3.141592653589793,-4.5 -169.21833333333343 -1.5707963267948966,53.354999999999908 4.5 3.141592653589793,97.79499999999996 4.5 3.141592653589793,142.235 4.5 3.141592653589793,8.91499999999985 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-220.005 -1.5 0.0,-53.354999999999908 -4.5 0.0,-97.79499999999996 -4.5 0.0,-142.235 -4.5 0.0,-220.005 -4.5 0.0,-264.445 -4.5 0.0,4.5 -131.125 1.5707963267948966,4.5 -175.565 1.5707963267948966,4.5 -231.115 1.5707963267948966,4.5 -284.0 1.5707963267948966,-68.85500000000016 4.5 3.141592653589793,-4.5 -180.32833333333344 -1.5707963267948966,42.24499999999989 4.5 3.141592653589793,86.68499999999995 4.5 3.141592653589793,131.125 4.5 3.141592653589793,-2.19500000000015 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-208.89499999999999 -1.5 0.0,-42.24499999999989 -4.5 0.0,-86.68499999999995 -4.5 0.0,-131.125 -4.5 0.0,-208.89499999999999 -4.5 0.0,-253.335 -4.5 0.0,4.5 -120.01499999999999 1.5707963267948966,4.5 -164.455 1.5707963267948966,4.5 -220.005 1.5707963267948966,4.5 -275.0 1.5707963267948966,4.5 -299.0 1.5707963267948966,-79.96500000000015 4.5 3.141592653589793,-13.305000000000149 4.5 3.141592653589793,-4.5 -191.43833333333346 -1.5707963267948966,31.134999999999878 4.5 3.141592653589793,75.57499999999993 4.5 3.141592653589793,120.01499999999999 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-197.78500000000003 -1.5 0.0,-31.134999999999878 -4.5 0.0,-75.57499999999993 -4.5 0.0,-120.01499999999999 -4.5 0.0,-197.78500000000003 -4.5 0.0,-242.225 -4.5 0.0,4.5 -108.90499999999997 1.5707963267948966,4.5 -153.34500000000004 1.5707963267948966,4.5 -208.89499999999999 1.5707963267948966,4.5 -264.445 1.5707963267948966,4.5 -296.0 1.5707963267948966,-91.07500000000015 4.5 3.141592653589793,-24.41500000000015 4.5 3.141592653589793,-4.5 -202.54833333333347 -1.5707963267948966,20.024999999999865 4.5 3.141592653589793,64.46499999999992 4.5 3.141592653589793,108.90499999999997 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-186.675 -1.5 0.0,-20.024999999999865 -4.5 0.0,-64.46499999999992 -4.5 0.0,-108.90499999999997 -4.5 0.0,-186.675 -4.5 0.0,-231.115 -4.5 0.0,4.5 -97.79499999999996 1.5707963267948966,4.5 -142.235 1.5707963267948966,4.5 -197.78500000000003 1.5707963267948966,4.5 -253.335 1.5707963267948966,4.5 -291.0 1.5707963267948966,-102.18500000000015 4.5 3.141592653589793,-35.52500000000015 4.5 3.141592653589793,-4.5 -213.65833333333348 -1.5707963267948966,53.354999999999908 4.5 3.141592653589793,97.79499999999996 4.5 3.141592653589793,8.91499999999985 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-175.565 -1.5 0.0,-53.354999999999908 -4.5 0.0,-97.79499999999996 -4.5 0.0,-175.565 -4.5 0.0,-220.005 -4.5 0.0,4.5 -86.68499999999995 1.5707963267948966,4.5 -131.125 1.5707963267948966,4.5 -186.675 1.5707963267948966,4.5 -242.225 1.5707963267948966,4.5 -284.0 1.5707963267948966,-113.29500000000015 4.5 3.141592653589793,-46.63500000000014 4.5 3.141592653589793,-4.5 -224.7683333333335 -1.5707963267948966,42.24499999999989 4.5 3.141592653589793,86.68499999999995 4.5 3.141592653589793,-8.91499999999985 -4.5 0.0,-2.19500000000015 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-164.455 -1.5 0.0,-42.24499999999989 -4.5 0.0,-86.68499999999995 -4.5 0.0,-164.455 -4.5 0.0,-208.89499999999999 -4.5 0.0,-299.0 -4.5 0.0,4.5 -75.57499999999993 1.5707963267948966,4.5 -120.01499999999999 1.5707963267948966,4.5 -175.565 1.5707963267948966,4.5 -231.115 1.5707963267948966,4.5 -275.0 1.5707963267948966,4.5 -299.0 1.5707963267948966,-124.40500000000015 4.5 3.141592653589793,-57.74500000000015 4.5 3.141592653589793,-13.305000000000149 4.5 3.141592653589793,-4.5 -235.8783333333335 -1.5707963267948966,31.134999999999878 4.5 3.141592653589793,75.57499999999993 4.5 3.141592653589793,2.19500000000015 -4.5 0.0,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-153.34500000000004 -1.5 0.0,-31.134999999999878 -4.5 0.0,-75.57499999999993 -4.5 0.0,-153.34500000000004 -4.5 0.0,-197.78500000000003 -4.5 0.0,-296.0 -4.5 0.0,4.5 -64.46499999999992 1.5707963267948966,4.5 -108.90499999999997 1.5707963267948966,4.5 -164.455 1.5707963267948966,4.5 -220.005 1.5707963267948966,4.5 -264.445 1.5707963267948966,4.5 -296.0 1.5707963267948966,13.305000000000149 -4.5 0.0,-135.51500000000017 4.5 3.141592653589793,-68.85500000000016 4.5 3.141592653589793,-24.41500000000015 4.5 3.141592653589793,-4.5 -246.98833333333352 -1.5707963267948966,20.024999999999865 4.5 3.141592653589793,64.46499999999992 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-142.235 -1.5 0.0,-20.024999999999865 -4.5 0.0,-64.46499999999992 -4.5 0.0,-142.235 -4.5 0.0,-186.675 -4.5 0.0,-291.0 -4.5 0.0,4.5 -53.354999999999908 1.5707963267948966,4.5 -97.79499999999996 1.5707963267948966,4.5 -153.34500000000004 1.5707963267948966,4.5 -208.89499999999999 1.5707963267948966,4.5 -253.335 1.5707963267948966,4.5 -291.0 1.5707963267948966,24.41500000000015 -4.5 0.0,-146.62500000000015 4.5 3.141592653589793,-79.96500000000015 4.5 3.141592653589793,-35.52500000000015 4.5 3.141592653589793,-4.5 -258.0983333333335 -1.5707963267948966,53.354999999999908 4.5 3.141592653589793,8.91499999999985 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-131.125 -1.5 0.0,-53.354999999999908 -4.5 0.0,-131.125 -4.5 0.0,-175.565 -4.5 0.0,-284.0 -4.5 0.0,4.5 -42.24499999999989 1.5707963267948966,4.5 -86.68499999999995 1.5707963267948966,4.5 -142.235 1.5707963267948966,4.5 -197.78500000000003 1.5707963267948966,4.5 -242.225 1.5707963267948966,4.5 -284.0 1.5707963267948966,35.52500000000015 -4.5 0.0,-157.73500000000014 4.5 3.141592653589793,-91.07500000000015 4.5 3.141592653589793,-46.63500000000014 4.5 3.141592653589793,-4.5 -269.20833333333357 -1.5707963267948966,42.24499999999989 4.5 3.141592653589793,-8.91499999999985 -4.5 0.0,-2.19500000000015 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-120.01499999999999 -1.5 0.0,-42.24499999999989 -4.5 0.0,-120.01499999999999 -4.5 0.0,-164.455 -4.5 0.0,-275.0 -4.5 0.0,4.5 -31.134999999999878 1.5707963267948966,4.5 -75.57499999999993 1.5707963267948966,4.5 -131.125 1.5707963267948966,4.5 -186.675 1.5707963267948966,4.5 -231.115 1.5707963267948966,4.5 -275.0 1.5707963267948966,4.5 -299.0 1.5707963267948966,46.63500000000014 -4.5 0.0,-168.84500000000015 4.5 3.141592653589793,-102.18500000000015 4.5 3.141592653589793,-57.74500000000015 4.5 3.141592653589793,-13.305000000000149 4.5 3.141592653589793,-4.5 -280.31833333333358 -1.5707963267948966,31.134999999999878 4.5 3.141592653589793,2.19500000000015 -4.5 0.0,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-108.90499999999997 -1.5 0.0,-31.134999999999878 -4.5 0.0,-108.90499999999997 -4.5 0.0,-153.34500000000004 -4.5 0.0,-264.445 -4.5 0.0,4.5 -21.87666666666655 1.5707963267948966,4.5 -64.46499999999992 1.5707963267948966,4.5 -120.01499999999999 1.5707963267948966,4.5 -175.565 1.5707963267948966,4.5 -220.005 1.5707963267948966,4.5 -264.445 1.5707963267948966,4.5 -296.0 1.5707963267948966,57.74500000000015 -4.5 0.0,13.305000000000149 -4.5 0.0,-179.95500000000016 4.5 3.141592653589793,-113.29500000000015 4.5 3.141592653589793,-68.85500000000016 4.5 3.141592653589793,-24.41500000000015 4.5 3.141592653589793,-4.5 -291.42833333333359 -1.5707963267948966,20.024999999999865 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-97.79499999999996 -1.5 0.0,-20.024999999999865 -4.5 0.0,-97.79499999999996 -4.5 0.0,-142.235 -4.5 0.0,-253.335 -4.5 0.0,1.5 -299.0 1.5707963267948966,4.5 -15.704444444444335 1.5707963267948966,4.5 -53.354999999999908 1.5707963267948966,4.5 -108.90499999999997 1.5707963267948966,4.5 -164.455 1.5707963267948966,4.5 -208.89499999999999 1.5707963267948966,4.5 -253.335 1.5707963267948966,4.5 -291.0 1.5707963267948966,68.85500000000016 -4.5 0.0,24.41500000000015 -4.5 0.0,-191.06500000000018 4.5 3.141592653589793,-124.40500000000015 4.5 3.141592653589793,-79.96500000000015 4.5 3.141592653589793,-35.52500000000015 4.5 3.141592653589793,8.91499999999985 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-86.68499999999995 -1.5 0.0,-299.0 -1.5 0.0,-86.68499999999995 -4.5 0.0,-131.125 -4.5 0.0,-242.225 -4.5 0.0,-299.0 -4.5 0.0,1.5 -296.0 1.5707963267948966,4.5 -12.001111111111016 1.5707963267948966,4.5 -42.24499999999989 1.5707963267948966,4.5 -97.79499999999996 1.5707963267948966,4.5 -153.34500000000004 1.5707963267948966,4.5 -197.78500000000003 1.5707963267948966,4.5 -242.225 1.5707963267948966,4.5 -284.0 1.5707963267948966,79.96500000000015 -4.5 0.0,35.52500000000015 -4.5 0.0,-202.17500000000019 4.5 3.141592653589793,-135.51500000000017 4.5 3.141592653589793,-91.07500000000015 4.5 3.141592653589793,-46.63500000000014 4.5 3.141592653589793,-8.91499999999985 -4.5 0.0,-2.19500000000015 4.5 3.141592653589793,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-75.57499999999993 -1.5 0.0,-296.0 -1.5 0.0,-75.57499999999993 -4.5 0.0,-120.01499999999999 -4.5 0.0,-231.115 -4.5 0.0,-296.0 -4.5 0.0,1.5 -291.0 1.5707963267948966,4.5 -10.766666666666595 1.5707963267948966,4.5 -33.12255555555544 1.5707963267948966,4.5 -86.68499999999995 1.5707963267948966,4.5 -142.235 1.5707963267948966,4.5 -186.675 1.5707963267948966,4.5 -231.115 1.5707963267948966,4.5 -275.0 1.5707963267948966,4.5 -299.0 1.5707963267948966,91.07500000000015 -4.5 0.0,46.63500000000014 -4.5 0.0,-213.2850000000002 4.5 3.141592653589793,-146.62500000000015 4.5 3.141592653589793,-102.18500000000015 4.5 3.141592653589793,-57.74500000000015 4.5 3.141592653589793,-13.305000000000149 4.5 3.141592653589793,299.0 4.5 3.141592653589793,2.19500000000015 -4.5 0.0,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-64.46499999999992 -1.5 0.0,-291.0 -1.5 0.0,-64.46499999999992 -4.5 0.0,-108.90499999999997 -4.5 0.0,-220.005 -4.5 0.0,-291.0 -4.5 0.0,1.5 -284.0 1.5707963267948966,4.5 -10.766666666666595 1.5707963267948966,4.5 -27.510911111111 1.5707963267948966,4.5 -75.57499999999993 1.5707963267948966,4.5 -131.125 1.5707963267948966,4.5 -175.565 1.5707963267948966,4.5 -220.005 1.5707963267948966,4.5 -264.445 1.5707963267948966,4.5 -296.0 1.5707963267948966,102.18500000000015 -4.5 0.0,57.74500000000015 -4.5 0.0,13.305000000000149 -4.5 0.0,-224.3950000000002 4.5 3.141592653589793,-157.73500000000014 4.5 3.141592653589793,-113.29500000000015 4.5 3.141592653589793,-68.85500000000016 4.5 3.141592653589793,-24.41500000000015 4.5 3.141592653589793,296.0 4.5 3.141592653589793,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
